Filename, Ground Truth, Decision
left_01.MOV, left, undetected
left_02.MOV, left, left
left_03.MOV, left, left
left_04.MOV, left, left
left_05.MOV, left, left
left_06.MOV, left, left
left_07.MOV, left, left
left_08.MOV, left, left
left_09.MOV, left, left
left_10.MOV, left, left
left_11.MOV, left, left
left_12.MOV, left, left
left_13.MOV, left, left
left_14.MOV, left, left
left_15.MOV, left, left
left_16.MOV, left, left
left_17.MOV, left, left
left_18.MOV, left, left
left_19.MOV, left, left
left_20.MOV, left, left
right_01.MOV, right, right
right_02.MOV, right, right
right_03.MOV, right, right
right_04.MOV, right, right
right_05.MOV, right, right
right_06.MOV, right, right
center_01.MOV, center, center
center_02.MOV, center, center
center_03.MOV, center, center
center_04.MOV, center, center
center_05.MOV, center, left
center_06.MOV, center, center
center_07.MOV, center, center
misc_01.MOV, unknown_center_left, center
misc_02.MOV, unknown_center_right, center
misc_03.MOV, noball, undetected
misc_04.MOV, noball, undetected
misc_05.MOV, noball, undetected
misc_06.MOV, noball, undetected
misc_07.MOV, left, left
misc_08.MOV, left, left
misc_09.MOV, left, left
misc_10.MOV, left, left
misc_11.MOV, center, left
